v8-version,7,8,279,23,-node.34,0
code-creation,Builtin,3,19149,0x1356100,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,19169,0x1356140,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,19185,0x1356180,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,19203,0x13561c0,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,19221,0x1356200,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,19239,0x1356240,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,19256,0x1358640,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,19276,0x135cfa0,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,19296,0x135f3a0,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,19316,0x13622c0,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,19333,0x13625c0,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,19349,0x1362720,80,HasIndexedInterceptorIC
code-creation,Builtin,3,19364,0x1362780,36,HasIC_Slow
code-creation,Builtin,3,19377,0x13627c0,181,EnqueueMicrotask
code-creation,Builtin,3,19391,0x1362880,8,RunMicrotasksTrampoline
code-creation,Builtin,3,19407,0x13628a0,2012,RunMicrotasks
code-creation,Builtin,3,19421,0x1363080,2182,HasProperty
code-creation,Builtin,3,19435,0x1363920,1364,DeleteProperty
code-creation,Builtin,3,19449,0x1363e80,1912,CopyDataProperties
code-creation,Builtin,3,19464,0x1364600,8607,SetDataProperties
code-creation,Builtin,3,19479,0x13667a0,36,Abort
code-creation,Builtin,3,19492,0x13667e0,36,AbortCSAAssert
code-creation,Builtin,3,19507,0x1366820,12,EmptyFunction
code-creation,Builtin,3,19521,0x1366840,12,Illegal
code-creation,Builtin,3,19533,0x1366860,12,StrictPoisonPillThrower
code-creation,Builtin,3,19557,0x1366880,12,UnsupportedThrower
code-creation,Builtin,3,19572,0x13668a0,65,ReturnReceiver
code-creation,Builtin,3,19586,0x1366900,36,ArrayConstructor
code-creation,Builtin,3,19601,0x1366940,413,ArrayConstructorImpl
code-creation,Builtin,3,19616,0x1366ae0,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,19637,0x1366be0,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,19657,0x1366ce0,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,19679,0x1366dc0,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,19699,0x1366ea0,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,19719,0x1366f80,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,19739,0x1367060,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,19761,0x1367140,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,19783,0x1367220,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,19804,0x1367360,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,19824,0x1367580,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,19846,0x1367680,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,19867,0x1367820,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,19889,0x1367920,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,19910,0x1367ac0,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,19933,0x1367bc0,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,19956,0x1367d80,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,19972,0x1367de0,5,InternalArrayConstructor
code-creation,Builtin,3,19988,0x1367e00,5,InternalArrayConstructorImpl
code-creation,Builtin,3,20004,0x1367e20,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,20022,0x1367ee0,12,ArrayConcat
code-creation,Builtin,3,20036,0x1367f00,150,ArrayIsArray
code-creation,Builtin,3,20050,0x1367fa0,12,ArrayPrototypeFill
code-creation,Builtin,3,20065,0x1367fc0,3916,ArrayFrom
code-creation,Builtin,3,20078,0x1368f20,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,20094,0x1369300,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,20110,0x13693a0,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,20126,0x1369480,557,ArrayIncludes
code-creation,Builtin,3,20140,0x13696c0,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,20158,0x1369a40,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,20174,0x1369ac0,108,ArrayIndexOfHoleyDoubles
