v8-version,7,8,279,23,-node.34,0
code-creation,Builtin,3,17154,0x1367fc0,3916,ArrayFrom
code-creation,Builtin,3,17166,0x1368f20,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,17180,0x1369300,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,17195,0x13693a0,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,17208,0x1369480,557,ArrayIncludes
code-creation,Builtin,3,17219,0x13696c0,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,17232,0x1369a40,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,17245,0x1369ac0,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,17258,0x1369b40,565,ArrayIndexOf
code-creation,Builtin,3,17270,0x1369d80,12,ArrayPop
code-creation,Builtin,3,17281,0x1369da0,708,ArrayPrototypePop
code-creation,Builtin,3,17294,0x136a080,12,ArrayPush
code-creation,Builtin,3,17305,0x136a0a0,2742,ArrayPrototypePush
code-creation,Builtin,3,17317,0x136ab60,12,ArrayShift
code-creation,Builtin,3,17329,0x136ab80,12,ArrayUnshift
code-creation,Builtin,3,17340,0x136aba0,1106,CloneFastJSArray
code-creation,Builtin,3,17352,0x136b000,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,17366,0x136ba20,1146,ExtractFastJSArray
tick,0x7f6ba9e3d9d4,17386,0,0x0,6
tick,0x7f6baaa97b6f,17418,0,0x0,6
tick,0x7f6ba9ece187,17426,0,0x0,6
code-creation,Builtin,3,17436,0x136bea0,299,ArrayPrototypeEntries
code-creation,Builtin,3,17458,0x136bfe0,279,ArrayPrototypeKeys
code-creation,Builtin,3,17472,0x136c100,299,ArrayPrototypeValues
code-creation,Builtin,3,17485,0x136c240,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,17499,0x136d320,3800,FlattenIntoArray
code-creation,Builtin,3,17511,0x136e200,3764,FlatMapIntoArray
code-creation,Builtin,3,17523,0x136f0c0,528,ArrayPrototypeFlat
code-creation,Builtin,3,17543,0x136f2e0,576,ArrayPrototypeFlatMap
code-creation,Builtin,3,17558,0x136f540,12,ArrayBufferConstructor
code-creation,Builtin,3,17567,0x136f560,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,17578,0x136f580,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,17584,0x136f5a0,12,ArrayBufferIsView
code-creation,Builtin,3,17590,0x136f5c0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,17596,0x136f5e0,628,AsyncFunctionEnter
code-creation,Builtin,3,17602,0x136f860,161,AsyncFunctionReject
code-creation,Builtin,3,17608,0x136f920,153,AsyncFunctionResolve
code-creation,Builtin,3,17614,0x136f9c0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,17623,0x136f9e0,1298,AsyncFunctionAwaitCaught
code-creation,Builtin,3,17629,0x136ff00,1298,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,17635,0x1370420,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,17641,0x13704e0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,17648,0x13705a0,12,BigIntConstructor
code-creation,Builtin,3,17653,0x13705c0,12,BigIntAsUintN
code-creation,Builtin,3,17659,0x13705e0,12,BigIntAsIntN
code-creation,Builtin,3,17664,0x1370600,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,17670,0x1370620,12,BigIntPrototypeToString
code-creation,Builtin,3,17676,0x1370640,12,BigIntPrototypeValueOf
code-creation,Builtin,3,17682,0x1370660,186,BooleanPrototypeToString
code-creation,Builtin,3,17688,0x1370720,178,BooleanPrototypeValueOf
code-creation,Builtin,3,17694,0x13707e0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,17700,0x1370800,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,17706,0x1370820,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,17712,0x1370840,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,17718,0x1370860,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,17725,0x1370880,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,17731,0x13708a0,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,17737,0x13708c0,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,17744,0x13708e0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,17750,0x1370900,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,17757,0x1370920,12,CallSitePrototypeGetThis
code-creation,Builtin,3,17762,0x1370940,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,17770,0x1370960,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,17776,0x1370980,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,17783,0x13709a0,12,CallSitePrototypeIsEval
code-creation,Builtin,3,17788,0x13709c0,12,CallSitePrototypeIsNative
code-creation,Builtin,3,17794,0x13709e0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,17800,0x1370a00,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,17807,0x1370a20,12,CallSitePrototypeToString
code-creation,Builtin,3,17813,0x1370a40,12,ConsoleDebug
code-creation,Builtin,3,17818,0x1370a60,12,ConsoleError
code-creation,Builtin,3,17823,0x1370a80,12,ConsoleInfo
code-creation,Builtin,3,17829,0x1370aa0,12,ConsoleLog
code-creation,Builtin,3,17834,0x1370ac0,12,ConsoleWarn
code-creation,Builtin,3,17839,0x1370ae0,12,ConsoleDir
code-creation,Builtin,3,17844,0x1370b00,12,ConsoleDirXml
code-creation,Builtin,3,17850,0x1370b20,12,ConsoleTable
code-creation,Builtin,3,17855,0x1370b40,12,ConsoleTrace
code-creation,Builtin,3,17861,0x1370b60,12,ConsoleGroup
code-creation,Builtin,3,17866,0x1370b80,12,ConsoleGroupCollapsed
code-creation,Builtin,3,17873,0x1370ba0,12,ConsoleGroupEnd
code-creation,Builtin,3,17879,0x1370bc0,12,ConsoleClear
code-creation,Builtin,3,17884,0x1370be0,12,ConsoleCount
code-creation,Builtin,3,17889,0x1370c00,12,ConsoleCountReset
code-creation,Builtin,3,17895,0x1370c20,12,ConsoleAssert
code-creation,Builtin,3,17901,0x1370c40,402,FastConsoleAssert
code-creation,Builtin,3,17906,0x1370de0,12,ConsoleProfile
code-creation,Builtin,3,17912,0x1370e00,12,ConsoleProfileEnd
code-creation,Builtin,3,17917,0x1370e20,12,ConsoleTime
code-creation,Builtin,3,17922,0x1370e40,12,ConsoleTimeLog
code-creation,Builtin,3,17932,0x1370e60,12,ConsoleTimeEnd
